fecha_deteccion,fecha_publicacion,tipo,organo,confianza,motivo,titulo,url
2026-06-26,2025-08-04,Decreto,JUZGADO NACIONAL DE PRIMERA INSTANCIA DEL TRABAJO N 74 DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 529/2025 DECTO-2025-529-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/329243/20250804
2026-06-26,2025-08-04,Decreto,JUZGADO NACIONAL DE PRIMERA INSTANCIA DEL TRABAJO N 5 DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 530/2025 DECTO-2025-530-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/329244/20250804
2026-06-26,2025-08-05,Decreto,JUZGADO NACIONAL DE PRIMERA INSTANCIA DEL TRABAJO N 43 DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 537/2025 DECTO-2025-537-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/329315/20250805
2026-06-26,2025-08-07,Decreto,JUZGADO NACIONAL DE MENORES NO 7 DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 554/2025 DECTO-2025-554-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/329443/20250807
2026-06-26,2025-08-07,Decreto,JUZGADO NACIONAL EN LO CRIMINAL Y CORRECCIONAL N 62 DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 555/2025 DECTO-2025-555-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/329444/20250807
2026-06-26,2025-08-07,Decreto,JUZGADO NACIONAL DE PRIMERA INSTANCIA DEL TRABAJO N 60 DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 557/2025 DECTO-2025-557-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/329445/20250807
2026-06-26,2025-08-08,Decreto,CAMARA NACIONAL DE APELACIONES EN LO CIVIL Y COMERCIAL FEDERAL DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 565/2025 DECTO-2025-565-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/329506/20250808
2026-07-03,2026-07-03,Decreto,JUZGADO NACIONAL DE PRIMERA INSTANCIA EN LO CIVIL N 58 DE LA CAPITAL FEDERAL,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 570/2026 DECTO-2026-570-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/343969/20260703
2026-07-03,2026-07-03,Decreto,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL N 5 DE SAN MARTIN,ALTA,decreto+juez+renuncia,JUSTICIA Decreto 569/2026 DECTO-2026-569-APN-PTE - Acéptase renuncia.,https://www.boletinoficial.gob.ar/detalleAviso/primera/343970/20260703
