periodo,n_leyes,n_dnu,n_decretos_total,cuota_dnu,cuota_dnu_12m
2003-01,40,13,172,0.24528301886792453,
2003-02,0,7,260,1.0,
2003-03,5,10,254,0.6666666666666666,
2003-04,4,11,288,0.7333333333333333,
2003-05,3,12,331,0.8,
2003-06,10,8,184,0.4444444444444444,0.4959349593495935
2003-07,6,8,152,0.5714285714285714,0.5036496350364964
2003-08,12,7,205,0.3684210526315789,0.48717948717948717
2003-09,14,4,123,0.2222222222222222,0.45977011494252873
2003-10,8,1,172,0.1111111111111111,0.4426229508196721
2003-11,11,4,109,0.26666666666666666,0.4292929292929293
2003-12,27,8,164,0.22857142857142856,0.39914163090128757
2004-01,42,9,154,0.17647058823529413,0.3852813852813853
2004-02,5,3,113,0.375,0.36637931034482757
2004-03,2,3,120,0.6,0.35135135135135137
2004-04,5,10,129,0.6666666666666666,0.34684684684684686
2004-05,12,0,103,0.0,0.2968036529680365
2004-06,5,10,121,0.6666666666666666,0.3101851851851852
2004-07,13,4,126,0.23529411764705882,0.2876712328767123
2004-08,4,5,149,0.5555555555555556,0.291866028708134
2004-09,16,7,147,0.30434782608695654,0.29906542056074764
2004-10,8,6,183,0.42857142857142855,0.3150684931506849
2004-11,11,0,133,0.0,0.3023255813953488
2004-12,24,13,205,0.35135135135135137,0.3225806451612903
2005-01,32,4,126,0.1111111111111111,0.3217821782178218
2005-02,3,1,127,0.25,0.3181818181818182
2005-03,2,3,79,0.6,0.3181818181818182
2005-04,5,1,131,0.16666666666666666,0.2857142857142857
2005-05,6,3,120,0.3333333333333333,0.3064516129032258
2005-06,6,4,139,0.4,0.281767955801105
2005-07,9,7,150,0.4375,0.3
2005-08,6,3,96,0.3333333333333333,0.28888888888888886
2005-09,6,6,181,0.5,0.30177514792899407
2005-10,2,7,90,0.7777777777777778,0.3170731707317073
2005-11,2,2,123,0.5,0.34394904458598724
2005-12,5,5,150,0.5,0.35384615384615387
2006-01,12,7,185,0.3684210526315789,0.4336283185840708
2006-02,1,5,117,0.8333333333333334,0.4608695652173913
2006-03,5,7,121,0.5833333333333334,0.4672131147540984
2006-04,7,3,144,0.3,0.46825396825396826
2006-05,3,3,143,0.5,0.4796747967479675
2006-06,10,8,123,0.4444444444444444,0.48091603053435117
2006-07,15,4,129,0.21052631578947367,0.44776119402985076
2006-08,16,5,162,0.23809523809523808,0.4246575342465753
2006-09,119,2,157,0.01652892561983471,0.22745098039215686
2006-10,38,9,175,0.19148936170212766,0.20477815699658702
2006-11,14,4,173,0.2222222222222222,0.20195439739413681
2006-12,26,4,195,0.13333333333333333,0.18654434250764526
2007-01,27,2,140,0.06896551724137931,0.1661721068249258
2007-02,0,4,146,1.0,0.16417910447761194
2007-03,2,1,127,0.3333333333333333,0.15030674846625766
2007-04,12,1,143,0.07692307692307693,0.14285714285714285
2007-05,23,1,166,0.041666666666666664,0.12968299711815562
2007-06,7,1,156,0.125,0.11275964391691394
2007-07,6,5,175,0.45454545454545453,0.11854103343465046
2007-08,7,3,118,0.3,0.11635220125786164
2007-09,10,0,115,0.0,0.16908212560386474
2007-10,0,0,238,,0.1625
2007-11,6,1,125,0.14285714285714285,0.15436241610738255
2007-12,45,3,320,0.0625,0.1317365269461078
2008-01,12,0,200,0.0,0.13333333333333333
2008-02,0,0,127,,0.1095890410958904
2008-03,7,0,182,0.0,0.1
2008-04,7,0,203,0.0,0.09722222222222222
2008-05,10,0,127,0.0,0.1
2008-06,15,0,147,0.0,0.08759124087591241
2008-07,3,0,160,0.0,0.05426356589147287
2008-08,3,0,91,0.0,0.03278688524590164
2008-09,16,1,138,0.058823529411764705,0.03875968992248062
2008-10,5,0,218,0.0,0.03731343283582089
2008-11,5,1,222,0.16666666666666666,0.03759398496240601
2008-12,23,2,196,0.08,0.03636363636363636
2009-01,31,1,197,0.03125,0.038461538461538464
2009-02,0,2,100,1.0,0.05303030303030303
2009-03,4,1,83,0.2,0.06153846153846154
2009-04,14,0,168,0.0,0.058394160583941604
2009-05,2,0,149,0.0,0.06201550387596899
2009-06,2,0,148,0.0,0.06896551724137931
2009-07,1,0,207,0.0,0.07017543859649122
2009-08,13,0,137,0.0,0.06451612903225806
2009-09,6,0,136,0.0,0.061946902654867256
2009-10,6,4,254,0.4,0.09322033898305085
2009-11,19,1,246,0.05,0.08333333333333333
2009-12,38,1,274,0.02564102564102564,0.0684931506849315
2010-01,6,1,274,0.14285714285714285,0.08264462809917356
2010-02,0,0,179,,0.06722689075630252
2010-03,0,2,132,1.0,0.07758620689655173
2010-04,0,0,147,,0.08823529411764706
2010-05,5,1,136,0.16666666666666666,0.09433962264150944
2010-06,5,1,172,0.16666666666666666,0.1
2010-07,19,0,179,0.0,0.0859375
2010-08,1,0,104,0.0,0.09482758620689655
2010-09,18,0,161,0.0,0.0859375
2010-10,3,0,143,0.0,0.05785123966942149
2010-11,14,2,172,0.125,0.06837606837606838
2010-12,4,3,260,0.42857142857142855,0.11764705882352941
2011-01,0,0,172,,0.11538461538461539
2011-02,0,2,223,1.0,0.1375
2011-03,0,1,230,1.0,0.12658227848101267
2011-04,15,2,109,0.11764705882352941,0.125
2011-05,9,1,164,0.1,0.12
2011-06,3,0,225,0.0,0.1134020618556701
2011-07,4,0,139,0.0,0.13414634146341464
2011-08,11,0,211,0.0,0.11956521739130435
2011-09,0,0,196,,0.14864864864864866
2011-10,5,0,213,0.0,0.14473684210526316
2011-11,0,1,213,1.0,0.16393442622950818
2011-12,27,3,371,0.1,0.11904761904761904
2012-01,5,1,203,0.16666666666666666,0.12222222222222222
2012-02,0,1,109,1.0,0.11235955056179775
2012-03,1,0,177,0.0,0.10112359550561797
2012-04,2,2,134,0.5,0.11842105263157894
2012-05,3,0,198,0.0,0.11594202898550725
2012-06,7,2,158,0.2222222222222222,0.13333333333333333
2012-07,3,1,239,0.25,0.14666666666666667
2012-08,6,2,248,0.25,0.18055555555555555
2012-09,4,1,241,0.2,0.18181818181818182
2012-10,8,0,287,0.0,0.175
2012-11,13,0,214,0.0,0.14130434782608695
2012-12,23,1,220,0.041666666666666664,0.12790697674418605
2013-01,34,1,208,0.02857142857142857,0.09565217391304348
2013-02,0,0,226,,0.08771929824561403
2013-03,1,1,368,0.5,0.09565217391304348
2013-04,6,2,2336,0.25,0.09243697478991597
2013-05,9,2,1731,0.18181818181818182,0.10236220472440945
2013-06,6,2,237,0.25,0.10317460317460317
2013-07,8,1,278,0.1111111111111111,0.09923664122137404
2013-08,13,1,232,0.07142857142857142,0.08759124087591241
2013-09,3,1,401,0.25,0.08823529411764706
2013-10,11,0,261,0.0,0.08633093525179857
2013-11,1,1,646,0.5,0.1015625
2013-12,28,1,755,0.034482758620689655,0.09774436090225563
2014-01,3,2,198,0.4,0.13592233009708737
2014-02,0,0,163,,0.13592233009708737
2014-03,2,2,201,0.5,0.14285714285714285
2014-04,1,1,213,0.5,0.1414141414141414
2014-05,3,1,183,0.25,0.14130434782608695
2014-06,9,1,220,0.1,0.1276595744680851
2014-07,0,0,166,,0.12941176470588237
2014-08,19,2,190,0.09523809523809523,0.13043478260869565
2014-09,26,0,593,0.0,0.09649122807017543
2014-10,4,1,871,0.2,0.1111111111111111
2014-11,16,1,297,0.058823529411764705,0.0975609756097561
2014-12,36,1,324,0.02702702702702703,0.0916030534351145
2015-01,59,0,290,0.0,0.05405405405405406
2015-02,18,3,1467,0.14285714285714285,0.06310679611650485
