periodo,n_leyes,n_dnu,n_decretos_total,cuota_dnu,cuota_dnu_12m
2015-03,7,1,675,0.125,0.05714285714285714
2015-04,4,3,236,0.42857142857142855,0.06511627906976744
2015-05,8,1,217,0.1111111111111111,0.06363636363636363
2015-06,14,0,269,0.0,0.05803571428571429
2015-07,9,1,204,0.1,0.05982905982905983
2015-08,5,0,297,0.0,0.05504587155963303
2015-09,12,1,564,0.07692307692307693,0.06341463414634146
2015-10,15,1,390,0.0625,0.06018518518518518
2015-11,18,2,519,0.1,0.0639269406392694
2015-12,29,5,592,0.14705882352941177,0.08333333333333333
2016-01,7,3,289,0.3,0.12574850299401197
2016-02,0,1,114,1.0,0.1292517006802721
2016-03,1,0,115,0.0,0.12857142857142856
2016-04,1,1,123,0.5,0.11851851851851852
2016-05,0,1,89,1.0,0.12598425196850394
2016-06,4,2,88,0.3333333333333333,0.15126050420168066
2016-07,8,1,78,0.1111111111111111,0.15254237288135594
2016-08,7,1,74,0.125,0.15702479338842976
2016-09,4,1,76,0.2,0.168141592920354
2016-10,11,0,84,0.0,0.16666666666666666
2016-11,28,0,71,0.0,0.13793103448275862
2016-12,31,2,133,0.06060606060606061,0.11304347826086956
2017-01,1,5,90,0.8333333333333334,0.13513513513513514
2017-02,1,2,53,0.6666666666666666,0.1415929203539823
2017-03,0,3,87,1.0,0.16521739130434782
2017-04,2,1,76,0.3333333333333333,0.16379310344827586
2017-05,11,0,106,0.0,0.14285714285714285
2017-06,9,0,79,0.0,0.12403100775193798
2017-07,5,2,131,0.2857142857142857,0.13385826771653545
2017-08,0,1,93,1.0,0.14166666666666666
2017-09,4,2,84,0.3333333333333333,0.1487603305785124
2017-10,20,0,106,0.0,0.13846153846153847
2017-11,10,0,109,0.0,0.16071428571428573
2017-12,19,1,128,0.05,0.1717171717171717
2018-01,6,2,107,0.25,0.13861386138613863
2018-02,0,2,66,1.0,0.14
2018-03,0,0,97,,0.1134020618556701
2018-04,2,1,129,0.3333333333333333,0.1134020618556701
2018-05,5,0,112,0.0,0.12087912087912088
2018-06,4,2,107,0.3333333333333333,0.14772727272727273
2018-07,5,0,102,0.0,0.12790697674418605
2018-08,1,0,83,0.0,0.11627906976744186
2018-09,0,1,81,1.0,0.1111111111111111
2018-10,4,1,103,0.2,0.15151515151515152
2018-11,10,2,110,0.16666666666666666,0.17647058823529413
2018-12,16,1,92,0.058823529411764705,0.18461538461538463
2019-01,18,3,125,0.14285714285714285,0.16666666666666666
2019-02,0,1,62,1.0,0.15584415584415584
2019-03,0,0,69,,0.15584415584415584
2019-04,0,1,73,1.0,0.16
2019-05,4,0,94,0.0,0.16216216216216217
2019-06,3,0,49,0.0,0.14084507042253522
2019-07,2,1,85,0.3333333333333333,0.15942028985507245
2019-08,9,3,201,0.25,0.175
2019-09,1,6,73,0.8571428571428571,0.22093023255813954
2019-10,0,1,77,1.0,0.23170731707317074
2019-11,0,2,47,1.0,0.2638888888888889
2019-12,22,6,197,0.21428571428571427,0.2891566265060241
2020-01,0,0,122,,0.3387096774193548
2020-02,3,6,73,0.6666666666666666,0.37142857142857144
2020-03,1,14,134,0.9333333333333333,0.47058823529411764
2020-04,1,10,90,0.9090909090909091,0.5157894736842106
2020-05,0,6,88,1.0,0.5670103092783505
2020-06,5,9,75,0.6428571428571429,0.5925925925925926
2020-07,0,5,55,1.0,0.6181818181818182
2020-08,11,6,79,0.35294117647058826,0.6173913043478261
2020-09,1,5,63,0.8333333333333334,0.6140350877192983
2020-10,7,4,57,0.36363636363636365,0.5887096774193549
2020-11,9,8,127,0.47058823529411764,0.5683453237410072
2020-12,27,5,102,0.15625,0.5454545454545454
2021-01,5,3,49,0.375,0.5364238410596026
2021-02,0,3,76,1.0,0.5379310344827586
2021-03,4,3,100,0.42857142857142855,0.48905109489051096
2021-04,4,4,61,0.5,0.4552238805970149
2021-05,1,3,68,0.75,0.4393939393939394
2021-06,11,6,59,0.35294117647058826,0.4074074074074074
2021-07,7,3,72,0.3,0.37857142857142856
2021-08,2,4,78,0.6666666666666666,0.3953488372093023
2021-09,1,2,112,0.6666666666666666,0.38095238095238093
2021-10,0,3,77,1.0,0.3983050847457627
2021-11,12,2,67,0.14285714285714285,0.3565217391304348
2021-12,14,5,92,0.2631578947368421,0.4019607843137255
2022-01,0,1,62,1.0,0.4105263157894737
2022-02,0,2,38,1.0,0.40425531914893614
2022-03,1,1,65,0.5,0.4044943820224719
2022-04,0,0,55,,0.3950617283950617
2022-05,1,3,68,0.75,0.3950617283950617
2022-06,0,3,70,1.0,0.43283582089552236
2022-07,9,0,85,0.0,0.3939393939393939
2022-08,3,3,124,0.5,0.3787878787878788
2022-09,5,2,102,0.2857142857142857,0.35714285714285715
2022-10,5,2,53,0.2857142857142857,0.32432432432432434
2022-11,10,5,77,0.3333333333333333,0.36
2022-12,3,6,82,0.6666666666666666,0.4307692307692308
2023-01,0,0,57,,0.421875
2023-02,0,2,43,1.0,0.421875
2023-03,2,4,76,0.6666666666666666,0.4411764705882353
2023-04,2,1,66,0.3333333333333333,0.43661971830985913
2023-05,10,0,44,0.0,0.36363636363636365
2023-06,0,2,48,1.0,0.35526315789473684
2023-07,5,3,62,0.375,0.4
2023-08,0,3,47,1.0,0.4166666666666667
2023-09,0,2,47,1.0,0.44776119402985076
2023-10,15,4,74,0.21052631578947367,0.4050632911392405
2023-11,0,5,83,1.0,0.463768115942029
2023-12,0,9,206,1.0,0.5072463768115942
2024-01,0,2,115,1.0,0.5211267605633803
2024-02,0,5,103,1.0,0.5405405405405406
2024-03,1,4,74,0.8,0.547945205479452
2024-04,1,4,94,0.8,0.5733333333333334
2024-05,1,2,100,0.6666666666666666,0.6617647058823529
2024-06,0,4,73,1.0,0.6714285714285714
2024-07,3,7,131,0.7,0.7083333333333334
2024-08,0,4,98,1.0,0.7123287671232876
2024-09,11,3,90,0.21428571428571427,0.6235294117647059
2024-10,25,3,101,0.10714285714285714,0.5531914893617021
2024-11,0,4,92,1.0,0.5483870967741935
2024-12,0,5,90,1.0,0.5280898876404494
2025-01,0,3,51,1.0,0.5333333333333333
2025-02,0,4,93,1.0,0.5280898876404494
2025-03,4,3,93,0.42857142857142855,0.5054945054945055
2025-04,0,3,59,1.0,0.5056179775280899
2025-05,3,4,72,0.5714285714285714,0.5053763440860215
2025-06,0,4,73,1.0,0.5053763440860215
2025-07,0,1,85,1.0,0.4880952380952381
2025-08,0,1,92,1.0,0.4691358024691358
2025-09,1,4,79,0.8,0.5416666666666666
2025-10,3,0,85,0.0,0.7659574468085106
2025-11,0,3,65,1.0,0.7608695652173914
2025-12,0,1,83,1.0,0.7380952380952381
2026-01,2,10,89,0.8333333333333334,0.7450980392156863
2026-02,1,2,40,0.6666666666666666,0.72
2026-03,2,2,99,0.5,0.7446808510638298
2026-04,2,3,89,0.6,0.7142857142857143
2026-05,0,1,100,1.0,0.7441860465116279
