periodo,MIA_nucleo,sub_Ejecutivo,sub_Legislativo,sub_Judicial,sub_Prensa,sub_Banco Central,ejes_cubiertos
2020-01,69.06612436562067,81.97737042814536,93.67298523698524,57.77809523809524,58.90489197530865,35.64642230576441,5
2020-02,66.93595773195584,75.99092599295093,93.60899300699299,57.69111111111111,59.76911728395062,32.75527678571428,5
2020-03,64.57513795429341,69.15696306317918,92.85541258741257,57.60412698412696,60.6333425925926,30.940931547619048,5
2020-04,61.91149294208097,61.97218479807197,91.77579953379954,57.51714285714284,61.497567901234575,28.24409226190476,5
2020-05,59.030522547261825,54.36810163183674,89.96741647241646,57.430158730158695,62.36179320987654,25.90872023809524,5
2020-06,56.01480446943188,46.363169106166744,88.01141724941725,57.343174603174575,63.22601851851852,23.673550595238098,5
2020-07,52.80262803485096,38.29828780992674,85.6113752913753,57.030476190476165,64.0902438271605,21.141565476190475,5
2020-08,49.72811132237161,30.373322957951014,84.07798445998445,56.758095238095216,64.95446913580247,18.038187500000003,5
2020-09,46.935685977686916,24.867693141758775,80.43746309246309,56.48571428571427,65.81869444444446,14.786255952380953,5
2020-10,45.10240468224197,21.816390916577713,77.24467132867132,56.48571428571427,66.68291975308642,12.059815476190474,5
2020-11,43.59933609154094,19.214199165704898,74.98413675213676,56.48571428571427,67.54714506172841,9.393562499999996,5
2020-12,42.53737225842933,17.02361866187139,72.87056177156177,56.48571428571427,68.41137037037038,8.648839285714287,5
2021-01,41.45690113014948,15.333754015373543,71.00094638694637,56.48571428571427,67.63015432098767,8.099464285714282,5
2021-02,40.49826429630166,13.910656040551434,68.90797746697747,56.48571428571427,66.84893827160495,8.126589285714289,5
2021-03,39.95147990853553,13.752853821778832,67.17348562548563,56.48571428571427,66.06772222222223,7.890836309523809,5
2021-04,39.78142423380536,14.270508463549739,65.76150116550117,56.48571428571427,65.28650617283951,8.385684523809518,5
2021-05,40.165324617976374,15.361246667690006,65.20780186480187,57.50809523809524,64.50529012345679,8.919851190476193,5
2021-06,41.374731148675615,19.10252602824716,64.63254700854702,58.53047619047616,63.724074074074075,9.685050595238092,5
2021-07,42.977213475492306,23.91516326138439,64.08100932400932,59.55285714285714,62.94285802469136,10.896416666666665,5
2021-08,44.56188077257762,28.577647311001396,63.455269619269615,60.49349206349205,62.16164197530865,12.497252976190477,5
2021-09,46.42856612464028,33.334492383083315,63.786433566433566,61.43412698412697,61.38042592592593,14.513616071428572,5
2021-10,47.98474283382572,37.726567249239366,63.448100233100234,62.3747619047619,60.59920987654321,16.082124999999998,5
2021-11,49.37338646476931,42.3017104225491,62.1813986013986,63.31539682539681,59.8179938271605,17.40543452380951,5
2021-12,50.425746516761166,46.29283801064729,61.42818414918415,64.25603174603172,59.036777777777786,16.970235119047615,5
2022-01,50.85275131640486,48.20238060554867,60.66438383838384,65.19666666666666,58.61671296296298,16.182133928571428,5
2022-02,51.28394130514793,50.178403457404706,59.764219891219895,66.13730158730155,58.19664814814816,15.470791666666667,5
2022-03,51.800026430619866,51.73460577536514,59.513257964257974,67.07793650793649,57.77658333333334,15.299455357142861,5
2022-04,52.26632315649012,53.08230757481203,59.32462937062935,68.01857142857143,57.35651851851853,15.13008630952381,5
2022-05,52.58955329361123,54.294710731497595,59.40606371406372,67.93682539682538,56.936453703703705,15.280627976190472,5
2022-06,52.541892626672556,54.91086923444818,59.05651592851593,67.85507936507938,56.51638888888889,14.72569642857143,5
