periodo,n_concluido,n_resuelto,n_vencido,n_en_plazo,tasa_respuesta,tasa_en_plazo
2023-01,629,615,14,383,0.9777,0.6089
2023-02,519,503,16,333,0.9692,0.6416
2023-03,758,744,14,523,0.9815,0.69
2023-04,870,852,18,586,0.9793,0.6736
2023-05,688,679,9,464,0.9869,0.6744
2023-06,607,587,20,418,0.9671,0.6886
2023-07,745,731,14,486,0.9812,0.6523
2023-08,603,588,15,423,0.9751,0.7015
2023-09,652,641,11,454,0.9831,0.6963
2023-10,592,579,13,400,0.978,0.6757
2023-11,812,798,14,550,0.9828,0.6773
2023-12,779,759,20,498,0.9743,0.6393
2024-01,666,644,22,444,0.967,0.6667
2024-02,622,604,18,385,0.9711,0.619
2024-03,706,695,11,528,0.9844,0.7479
2024-04,842,808,34,550,0.9596,0.6532
2024-05,1046,939,107,600,0.8977,0.5736
2024-06,776,753,23,484,0.9704,0.6237
2024-07,1066,1012,54,626,0.9493,0.5872
2024-08,1097,1048,49,554,0.9553,0.505
2024-09,1034,1008,26,581,0.9749,0.5619
2024-10,911,832,79,548,0.9133,0.6015
2024-11,744,701,43,402,0.9422,0.5403
2024-12,659,638,21,362,0.9681,0.5493
2025-01,786,738,48,426,0.9389,0.542
2025-02,763,715,48,455,0.9371,0.5963
2025-03,483,460,23,295,0.9524,0.6108
2025-04,765,708,57,417,0.9255,0.5451
2025-05,739,701,38,434,0.9486,0.5873
2025-06,693,633,60,389,0.9134,0.5613
2025-07,835,807,28,536,0.9665,0.6419
2025-08,641,617,24,362,0.9626,0.5647
2025-09,1027,891,136,598,0.8676,0.5823
2025-10,696,662,34,421,0.9511,0.6049
2025-11,583,563,20,313,0.9657,0.5369
2025-12,564,525,39,312,0.9309,0.5532
2026-01,767,728,39,437,0.9492,0.5698
2026-02,621,552,69,369,0.8889,0.5942
2026-03,694,646,48,362,0.9308,0.5216
2026-04,651,580,71,353,0.8909,0.5422
2026-05,961,830,131,473,0.8637,0.4922
2026-06,1227,1059,168,655,0.8631,0.5338
2026-07,365,259,106,134,0.7096,0.3671
