periodo,n_leyes_sancionadas,n_declaracion_pres,n_resolucion_pres,n_comunicacion_pres,n_simbolicas_pres
2003-01,0,6.0,13.0,,19.0
2003-02,4,87.0,117.0,59.0,263.0
2003-03,4,317.0,423.0,111.0,851.0
2003-04,0,190.0,287.0,100.0,577.0
2003-05,6,260.0,220.0,74.0,554.0
2003-06,12,278.0,339.0,93.0,710.0
2003-07,13,233.0,241.0,106.0,580.0
2003-08,14,241.0,175.0,104.0,520.0
2003-09,0,265.0,280.0,126.0,671.0
2003-10,17,385.0,307.0,118.0,810.0
2003-11,47,290.0,269.0,89.0,648.0
2003-12,30,66.0,62.0,96.0,224.0
2004-01,0,7.0,5.0,3.0,15.0
2004-02,0,138.0,83.0,43.0,264.0
2004-03,4,536.0,480.0,198.0,1214.0
2004-04,11,280.0,297.0,145.0,722.0
2004-05,7,305.0,342.0,138.0,785.0
2004-06,12,340.0,338.0,115.0,793.0
2004-07,2,268.0,268.0,90.0,626.0
2004-08,18,464.0,371.0,129.0,964.0
2004-09,9,492.0,359.0,122.0,973.0
2004-10,11,462.0,288.0,123.0,873.0
2004-11,19,392.0,249.0,117.0,758.0
2004-12,38,142.0,106.0,60.0,308.0
2005-01,0,8.0,4.0,,12.0
2005-02,3,59.0,83.0,35.0,177.0
2005-03,6,528.0,574.0,134.0,1236.0
2005-04,5,509.0,424.0,123.0,1056.0
2005-05,8,363.0,374.0,88.0,825.0
2005-06,9,411.0,355.0,97.0,863.0
2005-07,6,233.0,179.0,78.0,490.0
2005-08,5,470.0,336.0,129.0,935.0
2005-09,4,415.0,312.0,115.0,842.0
2005-10,0,233.0,217.0,87.0,537.0
2005-11,9,302.0,275.0,128.0,705.0
2005-12,9,63.0,50.0,32.0,145.0
2006-01,0,10.0,5.0,12.0,27.0
2006-02,4,91.0,77.0,57.0,225.0
2006-03,5,484.0,432.0,165.0,1081.0
2006-04,7,339.0,293.0,107.0,739.0
2006-05,8,381.0,268.0,161.0,810.0
2006-06,14,336.0,290.0,148.0,774.0
2006-07,5,285.0,246.0,95.0,626.0
2006-08,20,388.0,328.0,120.0,836.0
2006-09,7,329.0,408.0,123.0,860.0
2006-10,10,289.0,312.0,96.0,697.0
2006-11,29,335.0,275.0,92.0,702.0
2006-12,32,104.0,109.0,38.0,251.0
2007-01,0,,9.0,,9.0
2007-02,2,82.0,78.0,14.0,174.0
2007-03,12,454.0,534.0,118.0,1106.0
2007-04,21,356.0,303.0,82.0,741.0
2007-05,7,403.0,389.0,112.0,904.0
2007-06,5,300.0,258.0,70.0,628.0
2007-07,9,225.0,287.0,50.0,562.0
2007-08,11,302.0,255.0,76.0,633.0
2007-09,0,245.0,239.0,94.0,578.0
2007-10,0,203.0,130.0,50.0,383.0
2007-11,43,182.0,218.0,61.0,461.0
2007-12,19,62.0,69.0,15.0,146.0
2008-01,1,,4.0,,4.0
2008-02,7,83.0,51.0,19.0,153.0
2008-03,4,351.0,339.0,79.0,769.0
2008-04,7,405.0,317.0,90.0,812.0
2008-05,18,428.0,385.0,90.0,903.0
2008-06,6,386.0,342.0,67.0,795.0
2008-07,0,316.0,333.0,41.0,690.0
2008-08,18,388.0,269.0,66.0,723.0
2008-09,4,466.0,446.0,62.0,974.0
2008-10,5,414.0,342.0,51.0,807.0
2008-11,13,331.0,260.0,47.0,638.0
2008-12,43,133.0,143.0,34.0,310.0
2009-01,0,,3.0,,3.0
2009-02,0,110.0,77.0,27.0,214.0
2009-03,18,535.0,508.0,121.0,1164.0
