periodo,atn_share,atn_share_mensual,stale_meses,atn_var_mom_pp
2003-01,0.00445284,4.168e-05,0,
2003-02,0.00445284,0.00107272,0,0.1031
2003-03,0.00445284,0.00358473,0,0.2512
2003-04,0.00445284,0.00138137,0,-0.2203
2003-05,0.00445284,0.00228662,0,0.0905
2003-06,0.00445284,6.075e-05,0,-0.2226
2003-07,0.00445284,7.711e-05,0,0.0016
2003-08,0.00445284,0.00142258,0,0.1345
2003-09,0.00445284,0.0010105,0,-0.0412
2003-10,0.00445284,0.00150221,0,0.0492
2003-11,0.00445284,0.00128644,0,-0.0216
2003-12,0.00445284,0.01666323,0,1.5377
2004-01,0.00091384,0.00031772,0,-1.6346
2004-02,0.00091384,0.00030711,0,-0.0011
2004-03,0.00091384,0.00050312,0,0.0196
2004-04,0.00091384,0.00022148,0,-0.0282
2004-05,0.00091384,0.00051963,0,0.0298
2004-06,0.00091384,0.00043456,0,-0.0085
2004-07,0.00091384,0.00081246,0,0.0378
2004-08,0.00091384,0.00113306,0,0.0321
2004-09,0.00091384,0.00087449,0,-0.0259
2004-10,0.00091384,0.00116888,0,0.0294
2004-11,0.00091384,0.00221627,0,0.1047
2004-12,0.00091384,0.00148442,0,-0.0732
2005-01,0.00188126,0.00080745,0,-0.0677
2005-02,0.00188126,0.00137482,0,0.0567
2005-03,0.00188126,0.00193791,0,0.0563
2005-04,0.00188126,0.00158802,0,-0.035
2005-05,0.00188126,0.00151891,0,-0.0069
2005-06,0.00188126,0.0003566,0,-0.1162
2005-07,0.00188126,0.00146243,0,0.1106
2005-08,0.00188126,0.00166046,0,0.0198
2005-09,0.00188126,0.00112222,0,-0.0538
2005-10,0.00188126,0.00080131,0,-0.0321
2005-11,0.00188126,0.00189008,0,0.1089
2005-12,0.00188126,0.00410014,0,0.221
2006-01,0.00079256,2.473e-05,0,-0.4075
2006-02,0.00079256,3.431e-05,0,0.001
2006-03,0.00079256,0.0001662,0,0.0132
2006-04,0.00079256,0.00015674,0,-0.0009
2006-05,0.00079256,0.00078358,0,0.0627
2006-06,0.00079256,0.00050514,0,-0.0278
2006-07,0.00079256,0.0016215,0,0.1116
2006-08,0.00079256,0.00193396,0,0.0312
2006-09,0.00079256,0.00075352,0,-0.118
2006-10,0.00079256,0.00117083,0,0.0417
2006-11,0.00079256,0.00097223,0,-0.0199
2006-12,0.00079256,0.00086647,0,-0.0106
2007-01,0.00114817,0.00011886,0,-0.0748
2007-02,0.00114817,0.00143952,0,0.1321
2007-03,0.00114817,0.00111732,0,-0.0322
2007-04,0.00114817,0.00124612,0,0.0129
2007-05,0.00114817,0.00119297,0,-0.0053
2007-06,0.00114817,0.00148742,0,0.0294
2007-07,0.00114817,0.00062601,0,-0.0861
2007-08,0.00114817,0.00051535,0,-0.0111
2007-09,0.00114817,6.723e-05,0,-0.0448
2007-10,0.00114817,0.00015912,0,0.0092
2007-11,0.00114817,0.00300151,0,0.2842
2007-12,0.00114817,0.00188733,0,-0.1114
2008-01,0.00085346,0.00115041,0,-0.0737
2008-02,0.00085346,0.00069477,0,-0.0456
2008-03,0.00085346,0.0003505,0,-0.0344
2008-04,0.00085346,0.0003479,0,-0.0003
2008-05,0.00085346,0.00146531,0,0.1117
2008-06,0.00085346,0.00101546,0,-0.045
2008-07,0.00085346,0.00104973,0,0.0034
2008-08,0.00085346,0.00129482,0,0.0245
2008-09,0.00085346,0.00041029,0,-0.0885
2008-10,0.00085346,0.00122329,0,0.0813
2008-11,0.00085346,0.0013936,0,0.017
2008-12,0.00085346,0.0005402,0,-0.0853
2009-01,0.00074829,0.00288916,0,0.2349
2009-02,0.00074829,0.00053764,0,-0.2352
2009-03,0.00074829,0.00057046,0,0.0033
2009-04,0.00074829,0.00147925,0,0.0909
2009-05,0.00074829,0.00198305,0,0.0504
2009-06,0.00074829,0.00064072,0,-0.1342
2009-07,0.00074829,0.00089205,0,0.0251
2009-08,0.00074829,0.00072677,0,-0.0165
2009-09,0.00074829,0.00036293,0,-0.0364
2009-10,0.00074829,0.00037701,0,0.0014
2009-11,0.00074829,0.0007556,0,0.0379
2009-12,0.00074829,0.00034706,0,-0.0409
2010-01,0.00097679,0.00094406,0,0.0597
2010-02,0.00097679,0.00096987,0,0.0026
2010-03,0.00097679,0.00062541,0,-0.0344
2010-04,0.00097679,0.00104448,0,0.0419
2010-05,0.00097679,0.00037872,0,-0.0666
2010-06,0.00097679,0.00068848,0,0.031
2010-07,0.00097679,0.00403447,0,0.3346
2010-08,0.00097679,0.00087831,0,-0.3156
2010-09,0.00097679,0.00102121,0,0.0143
2010-10,0.00097679,0.00131515,0,0.0294
2010-11,0.00097679,0.00055842,0,-0.0757
2010-12,0.00097679,0.00045334,0,-0.0105
2011-01,0.00023223,8.66e-05,0,-0.0367
2011-02,0.00023223,0.00055778,0,0.0471
2011-03,0.00023223,8.029e-05,0,-0.0477
2011-04,0.00023223,8.884e-05,0,0.0009
2011-05,0.00023223,0.00011545,0,0.0027
2011-06,0.00023223,0.00019963,0,0.0084
2011-07,0.00023223,0.00094857,0,0.0749
2011-08,0.00023223,3.727e-05,0,-0.0911
2011-09,0.00023223,0.0001414,0,0.0104
