periodo,costo_legislativo
2003-01,0.008034
2003-02,0.007642
2003-03,0.007552
2003-04,0.010107
2003-05,0.00726
2003-06,0.007715
2003-07,0.009434
2003-08,0.00693
2003-09,0.006455
2003-10,0.009226
2003-11,0.008988
2003-12,0.005395
2004-01,0.007773
2004-02,0.007578
2004-03,0.005859
2004-04,0.008226
2004-05,0.007693
2004-06,0.006748
2004-07,0.006723
2004-08,0.008135
2004-09,0.005684
2004-10,0.006799
2004-11,0.00795
2004-12,0.00403
2005-01,0.010819
2005-02,0.006308
2005-03,0.005913
2005-04,0.008019
2005-05,0.006467
2005-06,0.004207
2005-07,0.006275
2005-08,0.006466
2005-09,0.006739
2005-10,0.007012
2005-11,0.007426
2005-12,0.003322
2006-01,0.007814
2006-02,0.005487
2006-03,0.004712
2006-04,0.006309
2006-05,0.006239
2006-06,0.006031
2006-07,0.005609
2006-08,0.005737
2006-09,0.005047
2006-10,0.006342
2006-11,0.006234
2006-12,0.004926
2007-01,0.00578
2007-02,0.006027
2007-03,0.004229
2007-04,0.006072
2007-05,0.005993
2007-06,0.005383
2007-07,0.004321
2007-08,0.006112
2007-09,0.003729
2007-10,0.007542
2007-11,0.007077
2007-12,0.003021
2008-01,0.005448
2008-02,0.005459
2008-03,0.003783
2008-04,0.005416
2008-05,0.006804
2008-06,0.005806
2008-07,0.005245
2008-08,0.005675
2008-09,0.004384
2008-10,0.004791
2008-11,0.006024
2008-12,0.003273
2009-01,0.012549
2009-02,0.004241
2009-03,0.003991
2009-04,0.004858
2009-05,0.004645
2009-06,0.004291
2009-07,0.011009
2009-08,0.004775
2009-09,0.004244
2009-10,0.006257
2009-11,0.004472
2009-12,0.003505
2010-01,0.006766
2010-02,0.005015
2010-03,0.003951
2010-04,0.004356
2010-05,0.004921
2010-06,0.005294
2010-07,0.007119
2010-08,0.005755
2010-09,0.004893
2010-10,0.005519
2010-11,0.005116
2010-12,0.004031
2011-01,0.006477
2011-02,0.005217
2011-03,0.004291
2011-04,0.005297
2011-05,0.00492
2011-06,0.006094
2011-07,0.005926
2011-08,0.005766
2011-09,0.004938
2011-10,0.006039
2011-11,0.005027
2011-12,0.004644
2012-01,0.016535
2012-02,0.004085
2012-03,0.004846
2012-04,0.00625
2012-05,0.005043
2012-06,0.006559
2012-07,0.009226
2012-08,0.006945
2012-09,0.005604
2012-10,0.007142
2012-11,0.005725
2012-12,0.005603
2013-01,0.014562
2013-02,0.00483
2013-03,0.005479
2013-04,0.0074
2013-05,0.005608
2013-06,0.006858
2013-07,0.007426
2013-08,0.006792
2013-09,0.00564
2013-10,0.007077
2013-11,0.004807
2013-12,0.006054
2014-01,0.007417
2014-02,0.005876
2014-03,0.00563
2014-04,0.006688
2014-05,0.005396
2014-06,0.006825
2014-07,0.007264
2014-08,0.006506
2014-09,0.003634
